ct_disease_raw,match_status,mapped_pubtator_label,mapped_pubtator_id
AIDS Dementia Complex,ambiguous,,
AIDS Related Lymphoma,ambiguous,,
AIDS-Related Opportunistic Infections,matched_exact,AIDS Related Opportunistic Infections,@DISEASE_AIDS_Related_Opportunistic_Infections
AKI - Acute Kidney Injury,unmatched,,
AL Amyloidosis,unmatched,,
ALK-positive Advanced Tumors,unmatched,,
ALL,unmatched,,
"ALL, Childhood",unmatched,,
ALLERGIC RHINITIS,ambiguous,,
ALOPECIA AREATA,ambiguous,,
ALS,unmatched,,
AMCI - Amnestic Mild Cognitive Impairment,unmatched,,
AMI,unmatched,,
AML,unmatched,,
AML (Acute Myelogenous Leukemia),unmatched,,
ANCA Associated Vasculitis,unmatched,,
ANCA Associated Vasculitis (AAV),unmatched,,
ANXIETY,ambiguous,,
AOD Craving,unmatched,,
AOD Effects and Consequences,unmatched,,
AODR Depressive State,unmatched,,
AORTIC VALVE DISEASES,unmatched,,
APL,unmatched,,
APLASTIC ANEMIA,ambiguous,,
APS-related Hyperprolactinaemia,unmatched,,
ARDS,unmatched,,
"ARDS, Human",unmatched,,
ARNI,unmatched,,
ART,unmatched,,
ASA Triad,unmatched,,
ASCVD,unmatched,,
ASD,unmatched,,
ASTHMA,ambiguous,,
"AUC,",unmatched,,
Abdominal Abscess,ambiguous,,
Abdominal Aortic Aneurysm,ambiguous,,
Abdominal Aortic Aneurysm Without Rupture,unmatched,,
Abdominal Contour Defects,unmatched,,
Abdominal Obesity,ambiguous,,
Abdominal Pain,ambiguous,,
Abdominal Surgeries,unmatched,,
Abdominal Surgery,unmatched,,
Abdominal Wall Hernia,unmatched,,
Abdominoplasty,unmatched,,
Ablation Techniques,unmatched,,
Able Bodied,unmatched,,
Abnormal Glucose Metabolism,unmatched,,
Abnormal Glucose Tolerance,unmatched,,
Abnormal Menstrual Cycle,unmatched,,
Abnormal Respiratory Airway Resistance,unmatched,,
Abnormal Uterine Bleeding,unmatched,,
Abnormal Uterine Bleeding Unrelated to Menstrual Cycle,unmatched,,
"Abnormal Uterine Bleeding, Endometrial Hemostatic Dysfunction",unmatched,,
"Abnormal Uterine Bleeding, Ovulatory Dysfunction",unmatched,,
"Abnormal Uterine Bleeding, Unspecified",unmatched,,
Abnormal Vaginal Flora,unmatched,,
"Abnormalities, Cardiovascular",ambiguous,,
"Abnormalities, Drug-Induced",ambiguous,,
Abortion Complication,unmatched,,
Abortion Second Trimester,unmatched,,
Abortion in First Trimester,unmatched,,
"Abortion, Habitual",ambiguous,,
"Abortion, Induced",unmatched,,
"Abortion,Induced",unmatched,,
Abscess,ambiguous,,
Abscess Soft Tissue,unmatched,,
"Abscess, Intra-Abdominal",unmatched,,
Abscesses,ambiguous,,
Absence Epilepsy,ambiguous,,
Absence Seizures,unmatched,,
"Absolute Number, Density of Immune Infiltrate and Dendritic Cells and Inflammatory Cytokines Expression Pattern.",unmatched,,
Absorption,unmatched,,
Abuse Liability of Staccato Alprazolam,unmatched,,
Abuse Opioids,unmatched,,
Abuse Potential,unmatched,,
Abuse Potential Study,unmatched,,
"Abuse, Drug",unmatched,,
Acanthamoeba Keratitis,ambiguous,,
Acanthosis Nigricans,ambiguous,,
Accelerated Phase Chronic Myelogenous Leukemia,unmatched,,
"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",unmatched,,
Accidental Falls,unmatched,,
Accurate Medication,unmatched,,
Acetabular Labrum Tear,unmatched,,
Acetaminophen,unmatched,,
Acetaminophen (D000082),unmatched,,
Acetaminophen Overdose,unmatched,,
Acetaminophen Toxicity,unmatched,,
Achalasia,unmatched,,
Ache,unmatched,,
Achilles Tendinopathy,unmatched,,
Achilles Tendon,unmatched,,
Achilles Tendon Injury,unmatched,,
Achilles Tendon Surgery,unmatched,,
Achlorhydria,ambiguous,,
Acid Dyspepsia,unmatched,,
Acid Peptic Disorder,unmatched,,
Acid Reflux,unmatched,,
Acid Reflux Disease,unmatched,,
Acid Regurgitation,unmatched,,
Acid-Base Imbalance,ambiguous,,
Acidosis,ambiguous,,
"Acidosis, Renal Tubular",ambiguous,,
Acinetobacter Baumannii Infection,unmatched,,
Acinetobacter Baumannii-calcoaceticus Complex Infections,unmatched,,
Acne,unmatched,,
Acne Inversa,unmatched,,
Acne Scars - Mixed Atrophic and Hypertrophic,unmatched,,
Acne Vulgaris,ambiguous,,
Acneiform Rash,unmatched,,
Acquired Deformity of Elbow,unmatched,,
Acquired Hemophilia A,unmatched,,
Acquired Immunodeficiency Syndrome,ambiguous,,
Acromegaly,ambiguous,,
Actinic Keratoses,unmatched,,
Actinic Keratosis,ambiguous,,
Actinic Keratosis (AK),unmatched,,
Active Emergence From General Anesthesia,unmatched,,
Active Rheumatoid Arthritis,unmatched,,
Activity/Exercise Induced Bronchospasm,unmatched,,
Actue Coronary Syndromes,unmatched,,
Acupressure,unmatched,,
Acupressure (D056351),unmatched,,
Acupuncture,unmatched,,
"Acupuncture, Ear",unmatched,,
Acute,unmatched,,
Acute Abdomen,ambiguous,,
Acute Adrenal Insufficiency,unmatched,,
Acute Alcoholic Hepatitis,unmatched,,
Acute Anal Fissure,unmatched,,
Acute Ankle Sprain,unmatched,,
Acute Aortic Syndrome,ambiguous,,
Acute Apical Abscess,unmatched,,
Acute Appendicitis,unmatched,,
Acute Asthma,unmatched,,
Acute Asthma Exacerbation,unmatched,,
Acute Back Strain,unmatched,,
Acute Bacterial Conjunctivitis,unmatched,,
Acute Bacterial Sinusitis,unmatched,,
Acute Bacterial Sinusitis (ABS),unmatched,,
Acute Bacterial Skin and Skin Structure Infection,unmatched,,
Acute Bacterial Skin and Skin Structure Infections,unmatched,,
Acute Biphenotypic Leukemia,ambiguous,,
Acute Bipolar Depression,unmatched,,
Acute Bipolar Mania,unmatched,,
Acute Bipolar Manic Episode,unmatched,,
Acute Bleeding,unmatched,,
Acute Bleeding Esophageal Varices,unmatched,,
Acute Blunt Soft Tissue Injuries/Contusions,unmatched,,
Acute Brain Injury,unmatched,,
Acute Bronchiolitis,unmatched,,
Acute Cardiac Failure,unmatched,,
Acute Cardiac Pulmonary Edema,unmatched,,
Acute Cardiac Syndrome,unmatched,,
Acute Cerebrovascular Accident,unmatched,,
Acute Chest Syndrome,ambiguous,,
Acute Cholecystitis,ambiguous,,
Acute Cholecystitits,unmatched,,
Acute Compartment Syndrome,unmatched,,
Acute Coronary Disease,unmatched,,
Acute Coronary Syndrome,ambiguous,,
Acute Coronary Syndrome (ACS),unmatched,,
Acute Coronary Syndrome (ACS) Undergoing Percutaneous Coronary Intervention (PCI),unmatched,,
Acute Coronary Syndromes,ambiguous,,
Acute DVT of Lower Extremity,unmatched,,
Acute Decompensated Heart Failure,unmatched,,
Acute Decompensated Heart Failure (ADHF),unmatched,,
Acute Deep Vein Thrombosis,unmatched,,
Acute Dental Pain,unmatched,,
Acute Disease,ambiguous,,
Acute Diverticulitis,unmatched,,
Acute Exacerbation Copd,unmatched,,
Acute Exacerbation of Chronic Obstructive Airways Disease,unmatched,,
Acute Focal Appendicitis,unmatched,,
Acute Follicular Tonsillitis,unmatched,,
Acute GVH Disease,unmatched,,
Acute GVHD,unmatched,,
Acute Gastroenteritis,unmatched,,
Acute Gout,unmatched,,
Acute Gout Flare,unmatched,,
Acute Gouty Arthritis,unmatched,,
Acute Graft-versus-host Disease,unmatched,,
Acute Heart Failure,unmatched,,
Acute Heart Failure (AHF),unmatched,,
Acute Heart Failure With Reduced Ejection Fraction,unmatched,,
Acute Hepatic Porphyria (AHP),unmatched,,
Acute Herpes Zoster,unmatched,,
Acute Illness,unmatched,,
Acute Infection,unmatched,,
Acute Intermittent Porphyria (AIP),unmatched,,
Acute Ischemic Stroke,unmatched,,
Acute Kidney Disease,unmatched,,
Acute Kidney Failure,unmatched,,
Acute Kidney Injuries,ambiguous,,
Acute Kidney Injury,ambiguous,,
Acute Kidney Injury (AKI),unmatched,,
Acute Kidney Injury Due to Sepsis,unmatched,,
Acute Leukemia,unmatched,,
Acute Leukemia (Category),unmatched,,
Acute Leukemia of Ambiguous Lineage,unmatched,,
Acute Lithiasic Cholecystitis Grade I or II,unmatched,,
Acute Liver Failure,ambiguous,,
Acute Liver Injury,unmatched,,
"Acute Liver Injury, Drug Induced",unmatched,,
Acute Low Back Pain,unmatched,,
Acute Low-back Pain,unmatched,,
Acute Lower Respiratory Tract Infection,unmatched,,
Acute Lumbago,unmatched,,
Acute Lung Injury,ambiguous,,
Acute Lung Injury (ALI),unmatched,,
Acute Lymphoblastic Leukaemia,unmatched,,
Acute Lymphoblastic Leukemia,unmatched,,
Acute Lymphoblastic Leukemia (ALL),unmatched,,
Acute Lymphoblastic Leukemia (ALL) in Complete Remission,unmatched,,
Acute Lymphoblastic Leukemia ALL,unmatched,,
Acute Lymphoblastic Leukemia With Failed Remission,unmatched,,
Acute Lymphoblastic Leukemia in Remission,unmatched,,
"Acute Lymphoblastic Leukemia, Adult",unmatched,,
"Acute Lymphoblastic Leukemia, Pediatric",unmatched,,
"Acute Lymphoblastic Leukemia, in Relapse",unmatched,,
Acute Lymphocytic Leukemia,unmatched,,
Acute Lymphoid Leukemia,unmatched,,
Acute Lymphoid Leukemia (ALL),unmatched,,
Acute Mania in Bipolar Disorder,unmatched,,
Acute Migraine,unmatched,,
Acute Migraine Headache,unmatched,,
Acute Migraine With or Without Aura,unmatched,,
Acute Muscle Pain,unmatched,,
Acute Musculoskeletal Spasm Due to Low Back Pain,unmatched,,
Acute Myelocytic Leukemia,unmatched,,
Acute Myelogenous Leukemia,unmatched,,
Acute Myeloid Leukemia,ambiguous,,
Acute Myeloid Leukemia (AML),unmatched,,
Acute Myeloid Leukemia (AML) in Remission,unmatched,,
Acute Myeloid Leukemia in Remission,unmatched,,
Acute Myocardial Infarction,unmatched,,
Acute Myocardial Infarction (AMI),unmatched,,
Acute Myocardial Infarction of Anterior Wall,unmatched,,
Acute Myocarditis,unmatched,,
Acute Non-specific Low Back Pain,unmatched,,
Acute Otitis Media,unmatched,,
Acute Pain,ambiguous,,
Acute Pain Due to Trauma,unmatched,,
"Acute Pain, Postoperative",unmatched,,
Acute Pancreatitis,unmatched,,
Acute Porphyria,unmatched,,
Acute Post Operative Pain,unmatched,,
Acute Post-operative Pain,unmatched,,
Acute Post-surgical Pain,unmatched,,
Acute Posthemorrhagic Anemia,unmatched,,
Acute Postoperative Pain,unmatched,,
Acute Promyelocytic Leukemia,ambiguous,,
Acute Psychosis,unmatched,,
Acute Pulmonary Embolism,unmatched,,
Acute Renal Failure,unmatched,,
Acute Renal Injuries,unmatched,,
Acute Renal Injury,unmatched,,
Acute Respiratory Disease,unmatched,,
Acute Respiratory Distress Syndrome,unmatched,,
Acute Respiratory Distress Syndrome (ARDS),unmatched,,
Acute Respiratory Distress Syndrome ARDS,unmatched,,
Acute Respiratory Failure,unmatched,,
Acute Respiratory Infection,unmatched,,
Acute Respiratory Insufficiency,unmatched,,
Acute Respiratory Tract Infection,unmatched,,
Acute Respiratory Tract Infections,unmatched,,
Acute ST Segment Elevation Myocardial Infarction,unmatched,,
Acute ST-elevation Myocardial Infarction,unmatched,,
Acute Schizophrenia,unmatched,,
Acute Sciatica,unmatched,,
Acute Sinusitis,unmatched,,
Acute Stress Disorder,unmatched,,
Acute Stress Reaction,unmatched,,
Acute Stroke,unmatched,,
Acute T Cell Leukemia,unmatched,,
Acute Thoracic Herpes Zoster,unmatched,,
Acute Toothache Patients Above Moderate Pain After Teeth Extraction Surgery,unmatched,,
Acute Traumatic Stress Disorders,ambiguous,,
Acute Treatment of Migraine,unmatched,,
Acute Undifferentiated Leukemia,unmatched,,
Acute Upper Respiratory Tract Infection,unmatched,,
Acute Urticaria,unmatched,,
Acute Watery Diarrhea,unmatched,,
Acute Wheezy Bronchitis,unmatched,,
Acute and Chronic Inflammation,unmatched,,
Acute and Chronic Pain Following Modified Radical Mastectomy,unmatched,,
Acute intraCerebral Haemorrhage,unmatched,,
Acute on Chronic Liver Failure,ambiguous,,
Acute-On-Chronic Liver Failure,ambiguous,,
Acute-graft-versus-host Disease,unmatched,,
Acyclovir and Candida Antigen in Treatment of Plantar Wart,unmatched,,
Acyl-CoA Oxidase Deficiency,unmatched,,
Adalimumab,unmatched,,
Addiction,unmatched,,
Addiction Opiate,unmatched,,
"Addiction, Opioid",unmatched,,
"Addiction, Substance",unmatched,,
Addison's Disease,unmatched,,
Adebrelimab,unmatched,,
Adenine Phosphoribosyltransferase Deficiency,matched_exact,Adenine phosphoribosyltransferase deficiency,@DISEASE_Adenine_phosphoribosyltransferase_deficiency
Adenocarcinoma,ambiguous,,
Adenocarcinoma of Endometrium,unmatched,,
Adenocarcinoma of Lung Metastatic to Brain,unmatched,,
Adenocarcinoma of Rectum,unmatched,,
Adenocarcinoma of Unknown Primary,unmatched,,
Adenocarcinoma of the Gastroesophageal Junction,unmatched,,
Adenocarcinoma of the Prostate,unmatched,,
Adenocarcinoma of the Stomach,unmatched,,
"Adenocarcinoma, Prostate",unmatched,,
Adenoidectomy,unmatched,,
Adenomatous Polyp of Colon,unmatched,,
Adenomatous Polyposis Coli,ambiguous,,
Adenomyosis,ambiguous,,
"Adenotonsillar Hypertrophy,Under 12 Years.",unmatched,,
Adenotonsillectomy,unmatched,,
Adenotonsillitis,unmatched,,
Adenoviridae Infections,ambiguous,,
Adenovirus,unmatched,,
Adenylosuccinate Lyase Deficiency,unmatched,,
Adhd,unmatched,,
Adherence,unmatched,,
"Adherence, Medication",unmatched,,
"Adherence, Patient",unmatched,,
Adhesive Capsulitis,unmatched,,
Adhesive Capsulitis of Shoulder,unmatched,,
Adhesive Capsulitis of the Shoulder,unmatched,,
Adipose Derived Stem Cells,unmatched,,
Adiposity,unmatched,,
Adjustment Disorders,ambiguous,,
Adjuvant Bevacizumab,unmatched,,
Adjuvant Therapy,unmatched,,
Administration of Antibiotics in Intensive Care Units,unmatched,,
Admitting Hospital,unmatched,,
Adolescence,unmatched,,
Adolescent,unmatched,,
Adolescent Depression,unmatched,,
Adolescent Idiopathic Scoliosis (AIS),unmatched,,
Adolescent Obesity,unmatched,,
Adolescent Overweight,unmatched,,
Adrenal Gland Disease,unmatched,,
Adrenal Incidentalomas,matched_token_set,Adrenal incidentaloma,@DISEASE_Adrenal_incidentaloma
Adrenal Insufficiency,ambiguous,,
Adrenaline,unmatched,,
Adrenergic Beta-Receptor Blockader,unmatched,,
Adrenergic Receptor Antagonist Adverse Reaction,unmatched,,
Adrenocortical Carcinoma,ambiguous,,
Adrenoleukodystrophy,ambiguous,,
Adrenoleukodystrophy With Cerebral Involvement,unmatched,,
Adrenomyeloneuropathy,unmatched,,
Adult,unmatched,,
Adult ADHD,unmatched,,
Adult ALL,unmatched,,
Adult Acute Lymphoblastic Leukemia in Remission,unmatched,,
Adult Acute Lymphocytic Leukemia,unmatched,,
Adult Acute Megakaryoblastic Leukemia (M7),unmatched,,
Adult Acute Minimally Differentiated Myeloid Leukemia (M0),unmatched,,
Adult Acute Monoblastic Leukemia (M5a),unmatched,,
Adult Acute Monocytic Leukemia (M5b),unmatched,,
Adult Acute Myeloblastic Leukemia With Maturation (M2),unmatched,,
Adult Acute Myeloblastic Leukemia Without Maturation (M1),unmatched,,
Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities,unmatched,,
Adult Acute Myeloid Leukemia With Del(5q),unmatched,,
Adult Acute Myeloid Leukemia With Inv(16)(p13,unmatched,,
Adult Acute Myeloid Leukemia With t(15,unmatched,,
Adult Acute Myeloid Leukemia With t(16,unmatched,,
Adult Acute Myeloid Leukemia With t(8,unmatched,,
Adult Acute Myeloid Leukemia in Remission,unmatched,,
Adult Acute Myelomonocytic Leukemia (M4),unmatched,,
Adult Attention Deficit Hyperactivity Disorder,unmatched,,
Adult Attention Deficit Hyperactivity Disorder (ADHD) With Co-occuring Anxiety and Depressive Disorders,unmatched,,
Adult B Acute Lymphoblastic Leukemia With t(9,unmatched,,
Adult Cholangiocarcinoma,unmatched,,
Adult Diffuse Large B-Cell Lymphoma,unmatched,,
Adult Erythroleukemia (M6a),unmatched,,
Adult Grade III Lymphomatoid Granulomatosis,unmatched,,
Adult Healthy Volunteers,unmatched,,
Adult Nasal Type Extranodal NK/T-cell Lymphoma,unmatched,,
Adult Pure Erythroid Leukemia (M6b),unmatched,,
Adult Respiratory Distress Syndrome,unmatched,,
Adult Solid Neoplasm,unmatched,,
Adult Subjects With Anal Fissures.,unmatched,,
Adult Subjects With Type1Diabetes and Insulin Microsecretion,unmatched,,
Adults With Tonic Clonic Seizures and/or Partial Seizures,unmatched,,
Advanced Biliary Tract Carcinoma,unmatched,,
Advanced Breast Cancer,unmatched,,
Advanced Cancer,unmatched,,
Advanced Cancers,unmatched,,
Advanced Cervical Cancer,unmatched,,
Advanced Chronic Heart Failure,unmatched,,
Advanced Chronic Liver Disease,unmatched,,
Advanced Colorectal Cancer,unmatched,,
Advanced Colorectal Carcinoma,unmatched,,
Advanced Differentiated Thyroid Gland Carcinoma,unmatched,,
Advanced Digestive System Carcinoma,unmatched,,
Advanced Esophageal Cancers,unmatched,,
Advanced Esophageal Carcinoma,unmatched,,
Advanced Gastric Cancer,unmatched,,
Advanced Gastric Carcinoma,unmatched,,
Advanced Gastroesophageal Junction Adenocarcinoma,unmatched,,
Advanced Hepatocarcinoma,unmatched,,
Advanced Hepatocellular Carcinoma,unmatched,,
Advanced Hodgkin's Lymphoma,unmatched,,
Advanced Lung Carcinoma,unmatched,,
Advanced Lung Non-Small Cell Carcinoma,unmatched,,
Advanced Malignancies,unmatched,,
Advanced Malignant Neoplasm,unmatched,,
Advanced Malignant Solid Neoplasm,unmatched,,
Advanced Melanoma,unmatched,,
Advanced Non-small Cell Lung Cancer,unmatched,,
Advanced Pancreatic Adenocarcinoma,unmatched,,
Advanced Pancreatic Cancer,unmatched,,
Advanced Pancreatic Ductal Adenocarcinoma,unmatched,,
Advanced Solid Malignancies,unmatched,,
Advanced Solid Tumor,unmatched,,
Advanced Solid Tumors,unmatched,,
"Advanced Solid Tumors, Excluding Breast Cancer",unmatched,,
Advanced Solid Tumours,unmatched,,
Advanced Stage Diffuse Large B-Cell Non-Hodgkin's Lymphoma,unmatched,,
Advanced Unresectable or Metastatic Breast Cancer,unmatched,,
Advanced or Metastatic Breast Cancer,unmatched,,
Advanced or Metastatic Colorectal Cancer,unmatched,,
Advanced or Metastatic Gastrooesophageal Carcinoma,unmatched,,
"Advanced, Persistent, or Recurrent Endometrial Cancer",unmatched,,
Adverse Anesthesia Outcome,unmatched,,
Adverse Bone Health,unmatched,,
Adverse Cardiac Events,unmatched,,
Adverse Drug Event,unmatched,,
Adverse Drug Events,unmatched,,
Adverse Drug Events (ADEs),unmatched,,
Adverse Drug Reaction,unmatched,,
Adverse Drug Reactions,unmatched,,
Adverse Effect,unmatched,,
Adverse Effect of Beta-adrenoreceptor Antagonists,unmatched,,
Adverse Effect of Other General Anesthetics,unmatched,,
Adverse Effects,unmatched,,
Adverse Effects of Angiotensin-converting-enzyme Inhibitors,unmatched,,
Adverse Event,unmatched,,
Adverse Events,unmatched,,
Adverse Reaction,unmatched,,
Adverse Reaction to Drug,unmatched,,
Adverse Reaction to Other Drugs and Medicines,unmatched,,
Affect Altered,unmatched,,
Affect Blunted,unmatched,,
Affective,unmatched,,
Affective Disorder,unmatched,,
Affective Disorders,unmatched,,
"Affective Disorders, Psychotic",ambiguous,,
"Affective Psychosis, Bipolar",unmatched,,
Affective Symptoms,unmatched,,
Age Matched Healthy Volunteers (Non-smokers),unmatched,,
Age Related Cataract,unmatched,,
Age Related Macular Degeneration,unmatched,,
Age-Related Macular Degeneration,unmatched,,
Age-Related Osteoporosis,unmatched,,
Age-related Cataract,unmatched,,
Aged,unmatched,,
Ageing,unmatched,,
Aggression,unmatched,,
Aggressive Non-Hodgkin Lymphoma,unmatched,,
Aggressive Periodontitis,ambiguous,,
Aging,unmatched,,
Agitated,unmatched,,
Agitation,unmatched,,
Agitation Associated With Dementia of the Alzheimer's Type,unmatched,,
Agitation in Patients With Dementia of the Alzheimer's Type,unmatched,,
Agitation on Recovery From Sedation,unmatched,,
"Agitation, Psychomotor",ambiguous,,
"Agitation,Psychomotor",ambiguous,,
Agoraphobia,ambiguous,,
Agoraphobia With Panic Attacks,unmatched,,
Air Pollution,unmatched,,
Airflow Obstruction,unmatched,,
Airway Anesthesia,unmatched,,
Airway Complication of Anesthesia,unmatched,,
Airway Hyperactivity,unmatched,,
Airway Inflammation,unmatched,,
Airway Management,unmatched,,
Airway Management During Operative Procedure,unmatched,,
Airway Obstruction,ambiguous,,
Airway Reactivity,unmatched,,
Airway Remodeling,ambiguous,,
Airway Responsiveness,unmatched,,
Airways Allergic Inflammation of Asthmatic Children,unmatched,,
"Akathisia, Drug-Induced",ambiguous,,
Albumin,unmatched,,
Albuminuria,ambiguous,,
Alcohol,unmatched,,
Alcohol Abstinence,unmatched,,
Alcohol Abuse,unmatched,,
Alcohol Abuse/Dependence,unmatched,,
Alcohol Consumption,unmatched,,
Alcohol Dependence,unmatched,,
Alcohol Dependence (Primary Condition),unmatched,,
Alcohol Drinking,unmatched,,
Alcohol Drinking Related Problems,unmatched,,
Alcohol Liver Disease,unmatched,,
Alcohol Relapse Prevention,unmatched,,
Alcohol Use Disorder,unmatched,,
Alcohol Use Disorder (AUD),unmatched,,
Alcohol Use Disorder With Insomnia,unmatched,,
Alcohol Use Disorders,unmatched,,
Alcohol Withdrawal,unmatched,,
Alcohol Withdrawal Associated Autonomic Hyperactivity,unmatched,,
Alcohol Withdrawal Delirium,ambiguous,,
Alcohol Withdrawal Hallucinosis,unmatched,,
Alcohol Withdrawal Syndrome,unmatched,,
Alcohol Withdrawal Syndrome(AWS),unmatched,,
Alcohol Withdrawal-Induced Delirium Tremens,unmatched,,
Alcohol-Induced Disorders,unmatched,,
Alcohol-Related Disorders,ambiguous,,
Alcoholic Cirrhosis,unmatched,,
Alcoholic Hepatitis,ambiguous,,
Alcoholic Liver Disease,unmatched,,
Alcoholic Relapse,unmatched,,
Alcoholism,ambiguous,,
Aldosterone Blockade,unmatched,,
Aldosterone Disorder,unmatched,,
Aldosteronism,unmatched,,
Alkylating Agents,unmatched,,
All Cause Mortality,unmatched,,
All-cause Mortality,unmatched,,
Allergic,unmatched,,
Allergic Asthma,unmatched,,
Allergic Bronchopulmonary Aspergillosis,ambiguous,,
Allergic Conjunctivitis,ambiguous,,
Allergic Contact Dermatitis,ambiguous,,
Allergic Disease,unmatched,,
Allergic Rhinitis,ambiguous,,
Allergic Rhinitis (Disorder),unmatched,,
Allergic Rhinitis Due to Allergens,unmatched,,
Allergic Rhinitis Due to Weed Pollen,unmatched,,
Allergic Rhinoconjunctivitis,unmatched,,
Allergies,unmatched,,
Allergy,unmatched,,
Allogeneic Hematopoietic Cell Transplantation,unmatched,,
Allogeneic Hematopoietic Stem Cell Transplant Recipient,unmatched,,
Allogeneic Hematopoietic Stem Cell Transplantation,unmatched,,
Allogeneic Stem Cell Transplantation,unmatched,,
Allogenic Transfusion,unmatched,,
Allograft Rejection,unmatched,,
Alopecia,ambiguous,,
Alopecia Areata,ambiguous,,
"Alopecia, Androgenetic",unmatched,,
Alpha Blocker,unmatched,,
Alpha-1 Antitrypsin Deficiency,ambiguous,,
Alpha-Mannosidosis,unmatched,,
Alpha-methylacyl-CoA Racmase Deficiency,unmatched,,
Alport Nephropathy,unmatched,,
Alport Syndrome,unmatched,,
Alteration of Cognitive Function,unmatched,,
Altered Mental Status,unmatched,,
Alternative Medicine,unmatched,,
Altitude,unmatched,,
Aluminum Phosphide Poisoning,unmatched,,
Alveolar Bone Healing After Dental Extraction,unmatched,,
Alveolar Bone Loss,ambiguous,,
Alveolar Bone Loss Associated Chronic Periodontitis,unmatched,,
Alveolar Bone Resorption,unmatched,,
Alveolar Ridge Preservation,unmatched,,
Alveolar Soft Part Sarcomas,ambiguous,,
Alzheimer Blood Biomarkers,unmatched,,
Alzheimer Dementia,unmatched,,
Alzheimer Dementia (AD),unmatched,,
Alzheimer Disease,ambiguous,,
Alzheimer Disease (AD),unmatched,,
Alzheimer Disease 1,unmatched,,
Alzheimer Disease 3,unmatched,,
"Alzheimer Disease, Late Onset",unmatched,,
Alzheimer Type Dementia,unmatched,,
Alzheimer&#39,unmatched,,
Alzheimer's,unmatched,,
Alzheimer's Desease,unmatched,,
Alzheimer's Disease,unmatched,,
Alzheimer's Disease (AD),unmatched,,
Alzheimer's Type Dementia,unmatched,,
Alzheimer´s Disease,unmatched,,
Amantadine,unmatched,,
Amblyopia,ambiguous,,
Ambulatory,unmatched,,
Ambulatory Blood Pressure Monitoring,unmatched,,
Ambulatory Surgery,unmatched,,
Amenorrhea,ambiguous,,
Amikacin,unmatched,,
Amitriptyline,unmatched,,
Amount of Pioglitazone in Blood,unmatched,,
Amoxicillin,unmatched,,
Amoxicillin Allergy,unmatched,,
Amoxicillin Crystalluria,unmatched,,
Amoxicillin-clavulanate,unmatched,,
Amphetamine Addiction,unmatched,,
Amphetamine Dependence,unmatched,,
Amphetamine-Related Disorders,ambiguous,,
Ampullary Cancer,unmatched,,
Amputation,unmatched,,
Amputation Stumps,unmatched,,
Amputation Wound,unmatched,,
"Amputation, Traumatic",ambiguous,,
Amylase,unmatched,,
Amyloid,unmatched,,
Amyloid - Primary,unmatched,,
